Marital_status;Application_mode;Application_order;Course;Daytime_evening_attendance;Previous_qualification;Previous_qualification_grade;Nacionality;Mothers_qualification;Fathers_qualification;Mothers_occupation;Fathers_occupation;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;Age_at_enrollment;International;Unemployment_rate;Inflation_rate;GDP;Target;CU1;CU2;CU3;CU4;CU5
1;18;1;9238;1;1;137.0;1;19;38;5;8;137.4;1;0;0;1;0;0;18;0;10.8;1.4;1.74;0;1.4824135788297141;1.3938160214381654;-6.540044969820024;-1.423865349987832;-2.18329644089683
1;17;2;9500;1;1;135.0;1;19;1;5;4;127.3;1;0;0;1;0;0;18;0;15.5;2.8;-4.06;1;5.4430003846320005;-3.143494373842221;1.975765762399788;-0.7617110467555086;-0.03885898845993724
1;1;1;9130;1;1;137.0;1;3;19;3;5;136.3;1;0;0;1;0;0;20;0;10.8;1.4;1.74;1;0.8242277902913634;-2.7160249620509473;-1.683654906420085;-0.058733808744846565;0.44272099407618676
1;1;1;9853;1;1;140.0;1;19;19;7;7;124.6;1;0;0;1;0;0;18;0;16.2;0.3;-0.92;0;2.7072658422962013;-2.64390666315837;1.3652957150492853;-1.3375381479572561;-0.4043786075975302
1;1;3;171;1;1;122.0;1;1;1;9;8;120.3;0;0;0;1;0;1;21;0;11.1;0.6;2.02;1;-21.11640438311602;-0.9515932525558548;2.556893265296547;-0.6802282783439534;0.5261050213429588
1;18;4;9556;1;1;127.0;1;1;38;4;7;121.8;1;0;0;1;0;0;20;0;12.7;3.7;-1.7;0;5.3101364473935355;2.321283459270812;-0.5410953897549409;0.2819381164383265;2.647074080632719
1;1;4;9500;1;1;142.0;1;19;19;1;1;125.5;1;0;0;1;0;0;18;0;12.7;3.7;-1.7;1;6.959240963548952;1.43570048269364;-1.5601159253719603;-0.6755530130314035;-0.4368541914864591
1;1;4;9670;1;1;125.0;1;1;38;4;7;114.9;1;0;0;1;0;1;19;0;11.1;0.6;2.02;1;2.5188442657483305;-3.043306092296371;0.6621719045549793;0.975777766746854;0.4147395801187726
1;1;1;9500;1;1;126.0;1;19;19;3;7;123.9;0;0;0;1;0;0;19;0;11.1;0.6;2.02;1;4.94533592195271;-2.5962115045131946;0.7621469664554547;-0.8534306843560183;-0.6683158024532522
1;1;1;9238;1;1;151.0;1;19;38;9;9;157.0;1;0;1;1;0;1;18;0;7.6;2.6;0.32;0;1.7888261803825993;-0.0037022298052518388;-2.4922463348358637;-1.1215520876152165;-2.670402874151394
1;17;2;9238;1;1;115.0;1;19;38;7;8;116.4;1;0;0;1;0;0;21;0;16.2;0.3;-0.92;1;3.085179390229143;-1.5865296389439558;-0.3201663016725715;-1.533943952786111;0.47349176880334304
1;1;1;9085;1;1;138.0;1;19;19;3;3;131.0;1;0;0;1;0;0;18;0;9.4;-0.8;-3.12;0;1.6031000676795244;-2.9787631898207816;-1.240926018326689;0.27550296961842424;1.859052914455118
1;1;1;9147;1;1;135.0;1;19;1;9;9;122.1;1;0;0;1;0;0;20;0;16.2;0.3;-0.92;1;-0.10993311514723042;-4.300859603484295;0.9941632344851722;-0.04779050166260224;0.3615792444590236
1;17;2;9500;1;1;127.0;1;3;3;1;10;118.8;1;0;0;1;1;0;19;0;16.2;0.3;-0.92;0;3.75847050396524;-2.6133865421236004;0.7980320014634532;0.08955353060788569;1.356167898109295
1;44;1;9003;1;39;150.0;1;4;5;4;2;150.0;0;0;0;1;1;0;21;0;16.2;0.3;-0.92;0;6.020308821419976;5.134076867968713;-7.351687585690202;-1.4695681758930665;-1.4445903008369618
1;51;1;9070;1;1;125.0;1;42;3;125;124;130.0;1;0;0;1;1;0;20;0;8.9;1.4;3.51;1;2.8314096739886963;-2.482629962164553;0.13129527268183772;-0.5319440372712725;-0.9517980654407732
1;1;1;9147;1;1;143.0;1;1;1;4;6;138.8;0;0;0;0;1;0;18;0;8.9;1.4;3.51;0;0.33635344607787093;-2.440329013020598;-2.9035937097152686;-1.231242505185231;1.7743863595434244
1;18;1;8014;0;1;138.0;1;19;1;9;5;134.5;1;0;0;1;0;0;19;0;12.4;0.5;1.79;1;2.913217053763641;-4.400625230906531;1.1114889466695779;-1.364691384233079;-0.7609955297583448
1;1;1;9991;0;1;130.0;1;2;37;3;9;131.4;0;0;0;1;1;0;34;0;13.9;-0.3;0.79;1;1.647583567916018;-3.968679029709561;-0.5135303607157201;-1.4242874434573243;-1.2784871713027697
1;39;1;33;1;1;130.0;1;38;37;9;6;102.5;0;0;1;0;1;0;37;0;8.9;1.4;3.51;0;-8.329582424960345;3.1897961838727964;-0.02553491637540727;-7.255298217059439;2.1248017170409783
1;39;1;9119;1;10;133.1;1;34;37;0;0;128.8;1;0;0;1;1;0;43;0;7.6;2.6;0.32;0;-19.207927031526555;1.3660285917970938;4.87003595471414;-0.28478603894585275;-0.5647820696736741
1;43;1;9147;1;1;140.0;1;37;37;6;6;122.9;0;0;0;1;0;0;55;0;16.2;0.3;-0.92;0;-1.3537236609533005;-0.7405410054750589;-3.842442075278132;-1.4361753618189212;2.469190671484964
4;39;1;9991;0;1;120.0;1;19;19;9;3;113.9;1;0;0;1;0;0;39;0;7.6;2.6;0.32;1;-0.6243844241853123;-2.931097926872159;0.8582794101683031;0.32208952030980464;2.259794197066057
1;44;1;9130;1;39;120.0;6;4;4;3;6;120.0;0;0;1;0;0;0;20;1;12.4;0.5;1.79;0;3.1197460122009053;2.377874341876485;-4.198724782809799;-0.53331127518103;1.8922868704217388
1;1;5;9773;1;1;126.0;1;3;3;2;2;121.1;0;0;1;1;0;0;18;0;12.7;3.7;-1.7;0;-7.988654173973885;1.4306515685512398;-0.5923467466668582;8.44261105513784;-2.770678591740673
1;1;2;9147;1;1;133.0;1;3;19;2;7;120.4;1;0;0;1;0;0;22;0;8.9;1.4;3.51;1;2.3253212383335664;-7.879836082136264;1.325499924224466;0.1487133275852788;0.8570221756180472
1;1;6;9500;1;1;103.0;1;1;3;2;2;100.6;1;1;0;1;0;0;22;0;11.1;0.6;2.02;1;5.387277542406577;-2.511613053049661;-0.1262613887489137;-0.5014995389217678;0.06593029754196363
1;17;1;9773;1;1;120.0;1;1;38;5;5;121.4;0;0;0;0;0;0;20;0;12.4;0.5;1.79;0;1.8582366930390029;-4.153647831246065;0.016663275365823002;-0.40454176511155165;0.5479116120198411
1;39;1;9991;0;1;133.1;1;37;37;9;9;109.7;0;0;0;1;0;0;29;0;16.2;0.3;-0.92;0;-19.207927031526555;1.3660285917970938;4.87003595471414;-0.28478603894585275;-0.5647820696736741
1;17;1;9991;0;1;154.0;1;38;38;4;5;134.1;0;0;0;1;0;0;24;0;7.6;2.6;0.32;0;1.833114438966215;-1.944015564572926;-4.388403060779772;-2.8958611557540497;0.22667951599017777
1;17;2;9238;1;1;130.0;1;19;19;9;9;127.6;1;0;0;1;0;0;18;0;11.1;0.6;2.02;1;1.539476684003031;-3.40532620324311;0.9304145525522483;-1.266851387237067;-0.9308334037934141
1;17;6;9500;1;1;132.0;1;37;19;7;7;132.4;1;0;0;1;0;1;22;0;11.1;0.6;2.02;1;4.874736784455628;-2.516866987915784;0.7227318931105874;-0.504348050436134;-0.8115958719270819
1;44;1;8014;0;39;130.0;1;1;19;9;9;133.4;0;0;0;1;0;1;21;0;12.4;0.5;1.79;1;2.0595946742737334;-2.3530020093552935;3.383196113351392;-1.096852753062751;-0.03313910109675491
1;1;1;9238;1;1;139.0;1;37;38;9;9;126.1;0;0;0;1;0;1;19;0;12.7;3.7;-1.7;1;1.6545128468694272;-3.427122435589396;0.8898209725731081;-0.34301829386890675;0.25487085947049914
1;39;1;9254;1;1;130.0;1;19;38;9;7;113.5;0;0;0;1;0;1;24;0;12.4;0.5;1.79;1;2.6118315043204494;-5.366120902800865;1.8756038673691326;0.14889891905654548;0.2527451332186796
1;1;1;9500;1;1;139.0;1;37;38;6;6;121.3;1;0;0;1;0;1;19;0;9.4;-0.8;-3.12;0;3.9957738534444784;0.6822340032235552;-0.35001354292873327;-0.4200069206390979;-0.4625019080790984
1;1;1;9773;1;1;127.0;1;1;19;7;7;121.8;1;0;0;1;0;1;20;0;9.4;-0.8;-3.12;0;3.3325610039873865;0.5093124607493952;-4.8908559897221044;1.053221465651069;-1.0376608018310967
1;1;3;9130;1;1;167.0;1;37;37;90;90;159.3;0;0;0;1;0;0;19;0;7.6;2.6;0.32;1;2.957081242611562;-6.880466572828305;0.5381939276260268;0.4008154699292415;2.173342712257853
1;39;1;9991;0;1;130.0;1;38;38;9;9;120.0;0;0;0;1;0;0;27;0;9.4;-0.8;-3.12;0;1.9011728066931703;1.1366628788365976;-3.047213392540023;-0.7239548243579563;1.6011395627781233
1;1;1;9500;1;1;130.0;1;1;19;5;5;129.1;1;0;0;1;0;0;18;0;15.5;2.8;-4.06;1;5.839748038479236;-1.4249570780659833;0.6777328979617865;-0.9432872560106665;-0.8855315719775827
2;7;1;9254;1;3;130.0;1;1;3;4;3;130.0;0;0;0;1;0;0;39;0;12.4;0.5;1.79;0;-13.44987496866119;8.68925914369433;-1.5370862346087748;-0.7186688445535255;1.9334381495186408
1;39;1;9130;1;40;129.0;1;3;3;2;2;155.3;1;0;0;1;0;0;27;0;12.4;0.5;1.79;0;7.2919227513921205;1.3278870506660874;1.0508145095511205;-2.153198490790238;-3.1006354505981606
1;17;1;9500;1;1;141.0;1;38;38;7;10;139.8;1;0;0;1;0;0;18;0;9.4;-0.8;-3.12;1;6.932805969105646;-3.6558891594099716;2.288645834605302;0.3514966855345863;-0.40801125652202697
1;1;3;171;1;1;125.0;1;38;37;4;9;115.2;1;0;0;1;0;0;18;0;7.6;2.6;0.32;0;-21.11640438311602;-0.9515932525558548;2.556893265296547;-0.6802282783439534;0.5261050213429588
1;1;2;9500;1;1;125.0;1;19;19;9;9;114.9;0;0;0;1;0;0;18;0;16.2;0.3;-0.92;1;4.905938048895092;-0.6070742861994229;-0.6228122988115488;-0.9336234081057503;-3.0959650416554925
1;44;1;9238;1;39;130.0;1;19;1;9;9;131.9;0;0;0;1;0;1;21;0;13.9;-0.3;0.79;1;1.9763354545364025;-1.4459697685573323;2.8947654676124044;0.13967068065689897;0.14016918075432996
1;17;3;171;1;1;133.0;1;1;37;4;7;126.0;1;0;0;1;1;1;19;0;10.8;1.4;1.74;0;-21.11640438311602;-0.9515932525558548;2.556893265296547;-0.6802282783439534;0.5261050213429588
1;17;1;9070;1;1;127.0;1;1;1;3;4;130.2;1;0;0;1;1;0;19;0;10.8;1.4;1.74;0;-1.7218595722843193;-1.6415319130587773;-0.8707776780197893;0.7832932680697122;-1.7230982751556359
1;43;1;9070;1;1;116.0;1;1;1;3;3;120.9;0;0;0;1;1;0;24;0;12.7;3.7;-1.7;0;-14.795051153174008;6.757237420614835;0.06974583611933655;-1.3435338976375486;-0.6673356180041821
4;42;1;9500;1;19;133.1;1;1;1;5;5;126.0;1;0;0;1;1;0;29;0;13.9;-0.3;0.79;0;3.152460522169723;1.645477351215279;-0.4007564502335665;0.13049039498714482;-0.4126435478489168
1;1;3;171;1;1;139.0;1;19;19;5;3;128.2;1;0;0;1;1;1;19;0;10.8;1.4;1.74;1;-21.11640438311602;-0.9515932525558548;2.556893265296547;-0.6802282783439534;0.5261050213429588
1;44;1;9003;1;39;130.0;1;19;37;9;9;130.0;1;0;0;1;1;0;23;0;8.9;1.4;3.51;1;2.2091606201069602;-2.7993042052482027;0.8123976737519847;0.3292493116353334;0.6067774482506428
1;1;3;9147;1;1;125.0;1;1;38;7;7;120.1;0;0;1;1;1;0;19;0;16.2;0.3;-0.92;0;0.41767947469111855;-0.7754182918691728;-2.021442950263403;-0.7000347464399659;-1.2231247338339688
1;39;1;9254;1;1;160.0;1;19;37;7;10;100.0;0;0;0;1;1;0;26;0;12.7;3.7;-1.7;0;0.8068080180000128;-1.8972935260433275;0.47959456718987303;0.48362557148506863;-1.0592900238192406
1;17;1;9147;1;1;148.0;1;38;37;5;5;134.0;0;0;0;1;1;0;18;0;7.6;2.6;0.32;0;-14.503433840318191;7.404454031499213;-1.1225616630792399;-0.608117908004593;2.1323449227431643
1;17;1;9500;1;1;150.0;1;37;19;8;4;130.8;0;0;0;1;1;0;24;0;13.9;-0.3;0.79;1;4.402200728712722;-2.242880175583092;2.2304593251217972;-1.248335736718385;-0.028791632081262782
1;1;1;171;1;1;141.0;1;19;19;5;10;135.8;1;0;0;1;1;0;19;0;15.5;2.8;-4.06;0;-21.11640438311602;-0.9515932525558548;2.556893265296547;-0.6802282783439534;0.5261050213429588
1;17;4;9254;1;1;118.0;1;38;37;5;7;111.7;1;0;0;1;1;0;18;0;12.4;0.5;1.79;0;2.1643154265582245;1.4580727438218208;-5.977711293315243;-0.8464969583093548;0.46835217308373367
1;1;2;9773;1;1;142.0;1;38;38;9;9;132.9;1;0;0;1;1;0;18;0;10.8;1.4;1.74;1;2.500309952493995;-1.1854188874491547;-2.1710541015424547;-0.7596951457693991;-1.9156526288587117
1;17;3;9147;1;1;120.0;1;19;19;4;7;115.5;1;0;1;1;1;0;18;0;10.8;1.4;1.74;0;-0.5252019762708492;-0.28848456467621464;-3.349709481513977;-1.7676909386870414;-1.3670374549865327
1;18;4;9254;1;1;106.0;1;19;37;7;7;106.0;1;0;0;1;1;1;21;0;9.4;-0.8;-3.12;0;-0.2717020466312169;0.16569732859418215;-3.303766092375477;-1.2609900544779682;-1.716400252340141
1;17;4;9773;1;1;121.0;1;1;19;9;8;120.3;1;0;1;1;1;1;19;0;8.9;1.4;3.51;1;2.1855333759089732;-4.965164194091121;1.880304625381225;0.6209970213763165;0.0038958775699531748
1;17;4;9500;1;1;150.0;1;38;37;9;9;130.8;0;0;0;1;1;1;22;0;16.2;0.3;-0.92;1;6.435382882584475;-4.131900560688318;1.6103426831542873;-0.47147390336355954;-1.4531575062371382
2;39;1;8014;0;1;120.0;1;37;37;9;6;117.0;0;0;0;1;1;0;33;0;10.8;1.4;1.74;1;1.2116457228732844;-2.548599541861108;1.39954085981722;0.7045349487069335;1.1164052782249085
1;1;6;9853;1;1;114.0;1;19;19;9;9;110.2;1;0;0;1;1;0;20;0;10.8;1.4;1.74;0;1.306977640708436;-2.546732831918239;0.1410926761024402;0.2141814178927478;0.7358715088284894
1;39;1;9991;0;2;140.0;1;3;3;2;2;155.7;1;0;0;1;1;0;35;0;10.8;1.4;1.74;0;-19.678382602888274;0.8205184620065027;3.4256138951261885;-0.416454636389735;0.337906675047602
1;39;1;9003;1;4;160.0;1;3;3;4;2;180.4;0;0;1;1;1;0;24;0;12.4;0.5;1.79;0;12.81407134297002;9.824507566553779;2.199695719292511;-1.2742806657520815;1.53258608505941
1;17;1;9254;1;1;120.0;1;19;19;4;4;125.5;0;0;0;1;1;0;18;0;12.7;3.7;-1.7;0;-0.5430167900570753;-3.061629239082868;-0.702391869722168;0.0990882357934002;-1.2085915370931801
2;39;1;8014;0;1;130.0;1;37;37;9;6;110.0;1;0;0;1;0;0;33;0;9.4;-0.8;-3.12;1;1.4394999413699934;-0.5895129745072432;-0.7599184376605865;-1.371099398480916;-2.7064419762546557
1;42;1;9500;1;1;160.0;1;37;38;9;7;161.0;1;0;0;1;0;1;22;0;10.8;1.4;1.74;1;4.491944686420145;-2.0433822546167595;1.9053532944898475;0.11361100252021762;-0.4888148679462939
1;39;1;9670;1;1;120.0;1;1;19;4;5;100.0;0;0;0;1;0;1;25;0;9.4;-0.8;-3.12;1;-0.8397050689889054;-2.5856859292167638;0.03632086929802755;-0.9969274286433835;0.5738585375970259
1;17;1;9070;1;1;124.0;1;19;38;4;0;117.6;1;0;0;1;1;0;20;0;7.6;2.6;0.32;1;0.3809387640634748;-1.2442499708493753;0.8505098119953417;0.309142828455613;1.924006013259294
1;1;6;9147;1;1;143.0;1;38;37;9;9;128.7;1;0;0;1;1;0;23;0;11.1;0.6;2.02;0;0.9454361592525835;-6.1659124799582985;0.7186824863608641;0.7557193014475028;1.1918485652316686
1;43;2;9119;1;1;115.0;1;38;19;9;6;112.2;1;0;1;1;1;0;18;0;15.5;2.8;-4.06;0;-7.773876563546798;4.951163659423703;-4.170343350212515;5.285328622558371;-2.516586569526798
1;39;1;9500;1;1;133.1;1;1;1;4;10;100.8;0;0;0;1;1;0;24;0;13.9;-0.3;0.79;0;-10.042257774106755;13.355102271278556;-4.763566929912503;0.2642940617945828;6.28588546945906
1;17;2;9773;1;1;133.1;41;19;1;9;9;105.0;1;0;0;0;0;0;21;1;8.9;1.4;3.51;1;2.4295688992850977;-5.175083610487225;1.8167143230236331;0.761195561682551;-0.008298476938501576
1;15;1;9130;1;1;133.1;41;1;1;4;4;100.0;0;0;0;1;0;0;26;1;8.9;1.4;3.51;0;-8.115660011588385;2.6926130214932256;-1.8787675487703202;7.48371361883944;-2.4604086203658952
2;39;1;9853;1;10;133.1;1;37;34;0;0;115.5;0;0;0;1;0;0;39;0;7.6;2.6;0.32;0;-3.123207537747932;7.590781004715223;-7.455863485287219;6.082830675670516;-4.578484073381609
2;39;1;8014;0;1;133.1;1;37;19;9;9;114.0;0;0;0;1;0;0;44;0;12.7;3.7;-1.7;1;4.124928129622343;0.19577576651893;1.6552040216174557;0.8178116721203285;2.414465181023154
1;15;1;9119;1;1;130.0;26;38;3;9;2;137.0;1;0;0;1;1;0;19;1;13.9;-0.3;0.79;0;3.405714495469621;-2.298355887066635;-3.7205638459201804;-0.14794658820660564;-0.9502115479938975
1;1;5;9773;1;1;135.0;1;37;1;5;5;124.9;1;0;0;1;0;0;18;0;8.9;1.4;3.51;1;2.1855333759089732;-4.965164194091121;1.880304625381225;0.6209970213763165;0.0038958775699531748
1;1;5;9500;1;1;132.0;1;37;37;7;7;120.3;1;0;0;1;0;1;18;0;12.4;0.5;1.79;1;5.6192580584944185;-3.428581150271534;1.819004869637608;-0.9133649509469672;-1.4225389159540627
1;1;1;9085;1;1;135.0;1;1;2;9;1;134.3;1;0;0;1;0;0;19;0;12.7;3.7;-1.7;0;2.3664596237086872;-4.967207479551212;-0.3545604889481391;0.4530636493565979;0.517379010665729
1;1;4;9500;1;1;115.0;1;3;3;2;2;111.5;1;0;1;0;0;0;19;0;13.9;-0.3;0.79;0;-5.787725083651994;5.007316741189556;-2.330783792659851;7.909312160572006;-1.6715660349179156
1;53;1;9085;1;42;130.0;1;38;38;9;9;128.8;0;0;0;1;0;0;21;0;8.9;1.4;3.51;0;9.539076173968128;5.819248462519345;1.2938316558620404;-0.8309072083873889;-1.479071206054097
1;1;4;171;1;1;133.1;1;1;1;9;10;110.0;1;0;0;1;0;0;20;0;16.2;0.3;-0.92;1;-21.11640438311602;-0.9515932525558548;2.556893265296547;-0.6802282783439534;0.5261050213429588
2;39;1;8014;0;1;130.0;1;37;37;6;5;113.5;1;0;0;1;0;0;36;0;9.4;-0.8;-3.12;0;-18.82623156120866;1.8295529606676826;5.332664492597659;-0.20569759106623092;-0.7829594878770001
4;39;1;9003;1;12;133.1;1;37;37;9;6;160.0;0;0;0;1;0;0;43;0;15.5;2.8;-4.06;1;22.379354082392542;14.475436123193722;11.358144532266065;1.9624616061661124;1.0521918151740304
1;18;1;9853;1;1;123.0;1;19;19;9;7;117.4;1;0;0;1;0;0;19;0;11.1;0.6;2.02;0;-18.82623156120866;1.8295529606676826;5.332664492597659;-0.20569759106623092;-0.7829594878770001
1;51;1;9070;1;1;130.0;1;3;1;2;8;122.2;0;0;1;1;0;0;20;0;11.1;0.6;2.02;1;10.491780474081496;4.862525316916754;5.375521758035851;0.2579364524220155;-0.6916563951006872
1;1;2;9238;1;1;122.0;1;37;38;4;7;118.2;1;0;0;1;0;0;19;0;16.2;0.3;-0.92;0;-18.82623156120866;1.8295529606676826;5.332664492597659;-0.20569759106623092;-0.7829594878770001
1;1;1;9085;1;1;113.0;1;1;1;4;4;106.7;1;0;0;1;0;0;20;0;15.5;2.8;-4.06;0;7.898186765500952;2.9315249438731317;-8.549542741011198;-1.32112185459967;-0.9519335114641816
1;1;5;9500;1;1;111.0;1;3;4;4;3;108.2;1;0;0;1;0;0;20;0;12.4;0.5;1.79;0;4.161290044891671;-0.3949689051733172;-0.3845245967555886;0.30585823847844584;-0.9046928410856067
1;17;2;9853;1;1;133.1;1;19;1;9;3;107.0;1;0;0;1;0;0;20;0;16.2;0.3;-0.92;0;3.9150989594553245;0.8105426742867904;-2.718272847555349;-0.5568008005023897;1.4208743331580687
1;1;1;9238;1;1;142.0;1;37;37;6;7;136.1;1;0;0;1;0;0;18;0;13.9;-0.3;0.79;1;3.8014468093848097;-4.875197078344667;1.0316869878471713;0.12330086371889334;1.7665731551212749
1;17;2;9147;1;1;123.0;1;1;38;4;7;115.3;1;0;0;1;0;1;18;0;8.9;1.4;3.51;0;1.1543789305642391;-0.9120391669183961;-4.2534245494680345;0.18453950749064935;-1.1698977858144994
1;1;1;9085;1;1;131.0;1;19;19;9;9;139.8;1;0;0;1;0;0;19;0;10.8;1.4;1.74;1;0.4600832518663736;-5.408528586463856;1.2038452685576984;1.0190864839726737;0.8716079608437747
1;1;3;9773;1;1;158.0;1;1;38;4;7;157.0;1;0;0;1;0;0;18;0;10.8;1.4;1.74;1;1.6550167492050405;-3.871115666753664;1.5971078218124892;0.0029194420585573143;-0.6686536218676151
1;17;2;9500;1;1;122.0;1;37;37;9;9;131.0;1;0;0;1;0;0;18;0;7.6;2.6;0.32;0;2.27674108498044;-2.771929999570031;1.6302771179028366;0.13305835629528454;-0.18216327640971344
1;43;1;9500;1;1;130.0;1;38;38;9;5;100.0;0;0;0;1;0;0;20;0;13.9;-0.3;0.79;0;3.733609725516096;-0.8308928606297743;0.6217796286526307;-0.25478746493303517;2.692156074768653
1;17;1;9238;1;1;154.0;1;19;37;9;7;140.4;1;0;0;1;0;1;20;0;7.6;2.6;0.32;0;1.6442782759004382;3.026130769001175;-5.298910275886579;-1.6824949596445042;1.2028089488954175
1;17;1;9147;1;1;120.0;1;19;19;3;3;113.4;0;0;0;1;0;0;20;0;12.4;0.5;1.79;0;0.05067123469452199;0.9139036627838375;-4.078313983854841;-0.8452783635013734;1.1575858376949215
1;1;2;9085;1;1;140.0;1;37;38;9;7;137.0;0;0;0;1;0;0;18;0;9.4;-0.8;-3.12;1;1.981075470913324;-1.3242769946978268;-1.6754268244431634;2.195568409649534;3.87909821286969
1;1;1;9147;1;1;127.0;1;2;19;4;5;121.8;0;0;0;1;0;0;18;0;11.1;0.6;2.02;1;0.35659635618550556;-6.157564298605789;1.7491445565147292;-0.38003463248725433;0.728471540628915
1;17;1;9254;1;1;133.1;1;1;1;4;5;131.0;1;0;0;1;0;0;21;0;9.4;-0.8;-3.12;0;1.6315381926957362;2.1579110991616104;-5.471117167010485;-0.8852517121017014;0.2985145180666238
1;1;2;9147;1;1;120.0;1;19;19;9;7;118.6;1;0;0;1;0;0;19;0;16.2;0.3;-0.92;1;0.14732192235975328;-1.2293933499707075;-1.442288575994789;-0.9019153716845104;-0.35771962285668135
1;1;1;171;1;1;137.0;1;3;19;2;9;122.3;0;0;0;1;0;0;19;0;10.8;1.4;1.74;0;-21.11640438311602;-0.9515932525558548;2.556893265296547;-0.6802282783439534;0.5261050213429588
1;1;1;9670;1;1;131.0;1;38;38;9;9;127.9;0;0;0;1;0;1;19;0;9.4;-0.8;-3.12;1;0.5541734456205574;-6.331630753488621;1.7104262841387228;-0.35256728058188586;0.7510168386016891
1;1;1;9085;1;1;130.0;1;19;38;4;7;121.3;1;0;0;1;0;0;19;0;15.5;2.8;-4.06;1;7.21956366944028;2.100520882584326;-5.150765371110519;0.5999345172286298;1.0077959800434182
1;17;6;9556;1;1;122.0;1;1;1;4;5;117.1;1;0;0;1;0;0;19;0;13.9;-0.3;0.79;0;-7.085435138284054;3.5936399321572607;0.5343543519991132;10.860435997662192;3.886098393030591
